,song_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1497,Oye Como Va,0.736,0.379,7,-13.208,1,0.301,0.345,0.104,0.948,128.399,256933,4
1498,Move Your Feet,0.747,0.904,9,-2.623,1,0.046,0.106,0.203,0.846,118.877,181827,4
1499,Shining Star,0.676,0.692,9,-13.093,1,0.668,0.00915,0.13,0.799,102.516,170160,4
1500,Let The Music Play,0.783,0.856,10,-5.302,0,0.000454,0.196,0.221,0.847,118.093,214960,4
1501,Spanish Sahara,0.364,0.565,9,-10.085,0,0.0306,0.0371,0.108,0.346,128.219,409560,4
1502,MacArthur Park,0.218,0.492,10,-12.002,1,0.401,0.0302,0.43,0.351,85.367,442667,4
1503,Taxman - Remastered,0.469,0.596,7,-8.348,1,0.0101,0.0,0.321,0.783,133.586,158853,4
1504,I'll Take You There,0.846,0.595,0,-8.372,1,0.0904,1.96e-06,0.063,0.78,101.632,196827,4
1505,I Will Always Love You,0.446,0.142,9,-13.498,1,0.96,0.00114,0.101,0.156,135.724,176093,4
1506,If I Was Your Girlfriend,0.87,0.366,1,-18.998,1,0.46,0.0139,0.071,0.819,96.74,301733,4
1507,Night Nurse,0.822,0.298,7,-14.86,1,0.0318,0.0299,0.0316,0.931,74.679,245667,4
1508,Follow The Leader,0.775,0.878,10,-8.914,0,0.517,0.00252,0.11,0.792,109.961,334960,4
1509,American Boy (feat. Kanye West),0.727,0.729,0,-2.99,1,0.171,0.0,0.07,0.512,117.932,284733,4
1510,Helicopter,0.504,0.718,4,-7.202,1,0.219,0.503,0.257,0.418,73.984,298173,4
1511,Warm Leatherette,0.483,0.368,2,-13.351,1,0.339,2.93e-05,0.0468,0.612,197.517,203907,4
1512,Ballroom Blitz,0.644,0.799,4,-10.856,0,0.0821,0.00154,0.055,0.889,108.381,246573,4
1513,Slow Burn,0.555,0.43,2,-9.105,1,0.462,0.000191,0.0869,0.274,147.613,246133,4
1514,Goodnight Irene,0.335,0.255,5,-10.561,1,0.843,0.0,0.26,0.556,141.158,202240,3
1515,El Matador,0.557,0.895,4,-10.559,0,0.0345,0.0181,0.057,0.634,193.783,273360,4
1516,Stay Fly,0.789,0.881,11,-5.758,1,0.109,0.0,0.355,0.647,133.299,236600,4
1517,How I Could Just Kill a Man,0.769,0.675,6,-13.326,1,0.000722,0.000149,0.0904,0.803,101.884,252240,4
1518,(No One Knows Me) Like the Piano,0.621,0.199,10,-13.788,1,0.976,0.00186,0.107,0.178,128.905,218160,4
1519,Green River,0.702,0.742,4,-9.621,1,0.035,0.0064,0.0972,0.972,141.664,154120,4
